"care_site_id","care_site_name","place_of_service_concept_id","location_id","care_site_source_value","place_of_service_source_value"
113,NA,8940,NA,"264461683",NA
114,NA,8940,NA,"345826897",NA
115,NA,8940,NA,"258124281",NA
116,NA,8940,NA,"592147680",NA
117,NA,8940,NA,"478045302",NA
118,NA,8940,NA,"413951582",NA
119,NA,8940,NA,"965323097",NA
120,NA,8940,NA,"850598808",NA
121,NA,8940,NA,"774045133",NA
122,NA,8940,NA,"169871950",NA
123,NA,8940,NA,"064448645",NA
124,NA,8940,NA,"454696373",NA
125,NA,8940,NA,"684988507",NA
126,NA,8940,NA,"649114826",NA
127,NA,8940,NA,"692840740",NA
128,NA,8940,NA,"316728516",NA
129,NA,8940,NA,"754667045",NA
130,NA,8940,NA,"120852227",NA
131,NA,8940,NA,"041712470",NA
132,NA,8940,NA,"828872967",NA
133,NA,8940,NA,"796677751",NA
134,NA,8940,NA,"049450339",NA
135,NA,8940,NA,"532135746",NA
136,NA,8940,NA,"373098878",NA
137,NA,8940,NA,"211778999",NA
138,NA,8940,NA,"788626980",NA
139,NA,8940,NA,"494738573",NA
140,NA,8940,NA,"232416667",NA
141,NA,8940,NA,"524427574",NA
142,NA,8940,NA,"851609906",NA
143,NA,8940,NA,"777555985",NA
144,NA,8940,NA,"997890435",NA
145,NA,8940,NA,"627889597",NA
146,NA,8940,NA,"817293307",NA
147,NA,8940,NA,"169012044",NA
148,NA,8940,NA,"870641257",NA
149,NA,8756,NA,"2400NA","Outpatient Facility"
150,NA,8756,NA,"2413CK","Outpatient Facility"
151,NA,8756,NA,"1000JR","Outpatient Facility"
152,NA,8756,NA,"24008S","Outpatient Facility"
153,NA,8940,NA,"886745623",NA
154,NA,8940,NA,"366570485",NA
155,NA,8940,NA,"894182284",NA
156,NA,8940,NA,"839472659",NA
157,NA,8940,NA,"865517666",NA
158,NA,8940,NA,"090951273",NA
159,NA,8940,NA,"357045288",NA
160,NA,8940,NA,"706077150",NA
161,NA,8940,NA,"286464227",NA
162,NA,8940,NA,"674927145",NA
163,NA,8940,NA,"175497624",NA
164,NA,8940,NA,"929690617",NA
165,NA,8940,NA,"910024319",NA
166,NA,8940,NA,"881329667",NA
167,NA,8940,NA,"322218507",NA
168,NA,8940,NA,"659413839",NA
169,NA,8756,NA,"2300CS","Outpatient Facility"
170,NA,8756,NA,"2301GU","Outpatient Facility"
171,NA,8940,NA,"381472165",NA
172,NA,8940,NA,"031453542",NA
173,NA,8940,NA,"415616077",NA
174,NA,8940,NA,"792400385",NA
175,NA,8940,NA,"561153647",NA
176,NA,8940,NA,"575884637",NA
177,NA,8940,NA,"459240774",NA
178,NA,8940,NA,"000538273",NA
179,NA,8940,NA,"142328134",NA
180,NA,8940,NA,"465158337",NA
181,NA,8940,NA,"573127571",NA
182,NA,8940,NA,"870814433",NA
183,NA,8940,NA,"620986991",NA
184,NA,8940,NA,"744077125",NA
185,NA,8940,NA,"280121793",NA
186,NA,8940,NA,"890699800",NA
187,NA,8940,NA,"126853530",NA
188,NA,8940,NA,"033542264",NA
189,NA,8940,NA,"536977165",NA
190,NA,8756,NA,"1513WQ","Outpatient Facility"
191,NA,8940,NA,"837394361",NA
192,NA,8940,NA,"279289071",NA
193,NA,8940,NA,"630117709",NA
194,NA,8940,NA,"143037017",NA
195,NA,8940,NA,"117906809",NA
196,NA,8940,NA,"097631093",NA
197,NA,8940,NA,"359665423",NA
198,NA,8940,NA,"095228715",NA
199,NA,8940,NA,"579505542",NA
200,NA,8940,NA,"179719730",NA
201,NA,8940,NA,"387907950",NA
202,NA,8940,NA,"020050710",NA
203,NA,8940,NA,"855025289",NA
204,NA,8940,NA,"448023579",NA
205,NA,8940,NA,"271488835",NA
206,NA,8940,NA,"170996416",NA
207,NA,8940,NA,"892225679",NA
208,NA,8940,NA,"641955224",NA
209,NA,8940,NA,"070671310",NA
210,NA,8940,NA,"323470048",NA
211,NA,8940,NA,"280566576",NA
212,NA,8940,NA,"517952712",NA
213,NA,8940,NA,"285477050",NA
214,NA,8940,NA,"514052292",NA
215,NA,8940,NA,"471609963",NA
216,NA,8756,NA,"4401BJ","Outpatient Facility"
217,NA,8756,NA,"4400MM","Outpatient Facility"
218,NA,8940,NA,"153322906",NA
219,NA,8940,NA,"121117216",NA
220,NA,8940,NA,"877799111",NA
221,NA,8940,NA,"386705239",NA
222,NA,8940,NA,"611488222",NA
223,NA,8940,NA,"552365001",NA
224,NA,8940,NA,"912262810",NA
225,NA,8940,NA,"694343350",NA
226,NA,8940,NA,"758161383",NA
227,NA,8940,NA,"192075012",NA
228,NA,8940,NA,"555994608",NA
229,NA,8940,NA,"417710894",NA
230,NA,8940,NA,"495741836",NA
231,NA,8940,NA,"694122438",NA
232,NA,8940,NA,"342734585",NA
233,NA,8940,NA,"655827748",NA
234,NA,8940,NA,"412821133",NA
235,NA,8940,NA,"034505291",NA
236,NA,8940,NA,"056825520",NA
237,NA,8940,NA,"892827003",NA
238,NA,8940,NA,"642726516",NA
239,NA,8940,NA,"363351434",NA
240,NA,8940,NA,"510778802",NA
241,NA,8940,NA,"705532982",NA
242,NA,8940,NA,"017044791",NA
243,NA,8940,NA,"766662142",NA
244,NA,8940,NA,"082655770",NA
245,NA,8940,NA,"591560419",NA
246,NA,8940,NA,"405199889",NA
247,NA,8940,NA,"694025736",NA
248,NA,8940,NA,"111974817",NA
249,NA,8940,NA,"048102423",NA
250,NA,8940,NA,"854916198",NA
251,NA,8940,NA,"900632044",NA
252,NA,8756,NA,"41008M","Outpatient Facility"
253,NA,8756,NA,"4100ZA","Outpatient Facility"
254,NA,8940,NA,"052299635",NA
255,NA,8940,NA,"336488462",NA
256,NA,8940,NA,"180913318",NA
257,NA,8940,NA,"419839121",NA
258,NA,8940,NA,"846871742",NA
259,NA,8940,NA,"517589485",NA
260,NA,8940,NA,"315705411",NA
261,NA,8940,NA,"703440669",NA
262,NA,8940,NA,"521504330",NA
263,NA,8940,NA,"786590785",NA
264,NA,8940,NA,"472402727",NA
265,NA,8940,NA,"909249900",NA
266,NA,8940,NA,"509788470",NA
267,NA,8940,NA,"888819702",NA
268,NA,8940,NA,"636997552",NA
269,NA,8940,NA,"277594101",NA
270,NA,8940,NA,"514439472",NA
271,NA,8940,NA,"061004198",NA
272,NA,8940,NA,"738261897",NA
273,NA,8940,NA,"837577651",NA
274,NA,8940,NA,"056513000",NA
275,NA,8940,NA,"391946140",NA
276,NA,8940,NA,"162068222",NA
277,NA,8940,NA,"416125212",NA
278,NA,8940,NA,"246747678",NA
279,NA,8940,NA,"988234515",NA
280,NA,8940,NA,"018010310",NA
281,NA,8940,NA,"270873063",NA
282,NA,8940,NA,"199892974",NA
283,NA,8940,NA,"860845625",NA
284,NA,8940,NA,"776110756",NA
285,NA,8940,NA,"463368258",NA
286,NA,8940,NA,"129727758",NA
287,NA,8940,NA,"954981265",NA
288,NA,8940,NA,"644592989",NA
289,NA,8940,NA,"513518316",NA
290,NA,8940,NA,"984412894",NA
291,NA,8940,NA,"975395922",NA
292,NA,8940,NA,"597422389",NA
293,NA,8940,NA,"688771646",NA
294,NA,8940,NA,"479068694",NA
295,NA,8940,NA,"891988731",NA
296,NA,8940,NA,"619894521",NA
297,NA,8940,NA,"450174822",NA
298,NA,8940,NA,"543375756",NA
299,NA,8940,NA,"991040496",NA
300,NA,8940,NA,"258055802",NA
301,NA,8940,NA,"979404377",NA
302,NA,8940,NA,"167172975",NA
303,NA,8940,NA,"059810435",NA
304,NA,8940,NA,"482640547",NA
305,NA,8940,NA,"363692716",NA
306,NA,8940,NA,"078719328",NA
307,NA,8940,NA,"557649017",NA
308,NA,8940,NA,"313798225",NA
309,NA,8940,NA,"789680694",NA
310,NA,8940,NA,"552928218",NA
311,NA,8940,NA,"507164118",NA
312,NA,8940,NA,"301433573",NA
313,NA,8940,NA,"821293944",NA
314,NA,8717,NA,"1401HG","Inpatient Facility"
315,NA,8756,NA,"1400ZR","Outpatient Facility"
316,NA,8756,NA,"1400HK","Outpatient Facility"
317,NA,8756,NA,"14138G","Outpatient Facility"
318,NA,8756,NA,"1413BH","Outpatient Facility"
319,NA,8756,NA,"1401QH","Outpatient Facility"
320,NA,8756,NA,"1438CG","Outpatient Facility"
321,NA,8756,NA,"1402JQ","Outpatient Facility"
322,NA,8940,NA,"978358083",NA
323,NA,8940,NA,"516963802",NA
324,NA,8940,NA,"827983559",NA
325,NA,8940,NA,"163125412",NA
326,NA,8940,NA,"032619962",NA
327,NA,8940,NA,"526357865",NA
328,NA,8940,NA,"927487532",NA
329,NA,8940,NA,"666216521",NA
330,NA,8940,NA,"330936590",NA
331,NA,8940,NA,"909951754",NA
332,NA,8940,NA,"248319338",NA
333,NA,8940,NA,"660120754",NA
334,NA,8940,NA,"925290811",NA
335,NA,8940,NA,"597388679",NA
336,NA,8940,NA,"569627315",NA
337,NA,8940,NA,"459121782",NA
338,NA,8940,NA,"283681674",NA
339,NA,8940,NA,"734305719",NA
340,NA,8940,NA,"255490354",NA
341,NA,8940,NA,"401907804",NA
342,NA,8940,NA,"303456804",NA
343,NA,8940,NA,"941989852",NA
344,NA,8940,NA,"319300514",NA
345,NA,8940,NA,"031783918",NA
346,NA,8940,NA,"806064317",NA
347,NA,8940,NA,"577652357",NA
348,NA,8940,NA,"677187810",NA
349,NA,8940,NA,"334625150",NA
350,NA,8940,NA,"911794386",NA
351,NA,8940,NA,"353678542",NA
352,NA,8940,NA,"266426268",NA
353,NA,8940,NA,"839164533",NA
354,NA,8940,NA,"796478794",NA
355,NA,8940,NA,"935165330",NA
356,NA,8940,NA,"512529809",NA
357,NA,8940,NA,"756414417",NA
358,NA,8940,NA,"954440242",NA
359,NA,8940,NA,"470735553",NA
360,NA,8940,NA,"289862816",NA
361,NA,8940,NA,"666630446",NA
362,NA,8940,NA,"328329241",NA
363,NA,8940,NA,"484545581",NA
364,NA,8940,NA,"776846170",NA
365,NA,8940,NA,"915916525",NA
366,NA,8940,NA,"103602971",NA
367,NA,8940,NA,"688810965",NA
368,NA,8940,NA,"789857543",NA
369,NA,8940,NA,"562154011",NA
370,NA,8756,NA,"5000QD","Outpatient Facility"
371,NA,8756,NA,"1313YS","Outpatient Facility"
372,NA,8756,NA,"1313QH","Outpatient Facility"
373,NA,8940,NA,"470866598",NA
374,NA,8940,NA,"643309189",NA
375,NA,8940,NA,"586642526",NA
376,NA,8940,NA,"902632227",NA
377,NA,8940,NA,"269040579",NA
378,NA,8940,NA,"356829242",NA
379,NA,8940,NA,"060826506",NA
380,NA,8940,NA,"430590431",NA
381,NA,8940,NA,"123976579",NA
382,NA,8940,NA,"635110017",NA
383,NA,8940,NA,"050114905",NA
384,NA,8940,NA,"127961537",NA
385,NA,8940,NA,"234733402",NA
386,NA,8940,NA,"041034594",NA
387,NA,8940,NA,"026519693",NA
388,NA,8940,NA,"267332125",NA
389,NA,8940,NA,"729562834",NA
390,NA,8940,NA,"604839668",NA
391,NA,8940,NA,"386838339",NA
392,NA,8940,NA,"571396478",NA
393,NA,8940,NA,"144404073",NA
394,NA,8940,NA,"895335050",NA
395,NA,8940,NA,"296946023",NA
396,NA,8940,NA,"884888940",NA
397,NA,8940,NA,"493643262",NA
398,NA,8940,NA,"719975561",NA
399,NA,8940,NA,"109668054",NA
400,NA,8940,NA,"760762606",NA
401,NA,8940,NA,"532862554",NA
402,NA,8940,NA,"730405759",NA
403,NA,8940,NA,"765414876",NA
404,NA,8717,NA,"3400WD","Inpatient Facility"
405,NA,8717,NA,"34S0KQ","Inpatient Facility"
406,NA,8717,NA,"3401ZP","Inpatient Facility"
407,NA,8756,NA,"3426CR","Outpatient Facility"
408,NA,8756,NA,"3401GP","Outpatient Facility"
409,NA,8756,NA,"3426YK","Outpatient Facility"
410,NA,8756,NA,"3401TG","Outpatient Facility"
411,NA,8756,NA,"3400KP","Outpatient Facility"
412,NA,8756,NA,"3426RR","Outpatient Facility"
413,NA,8756,NA,"3425QN","Outpatient Facility"
414,NA,8756,NA,"3425HM","Outpatient Facility"
415,NA,8756,NA,"3400DH","Outpatient Facility"
416,NA,8756,NA,"4900CN","Outpatient Facility"
417,NA,8756,NA,"34008M","Outpatient Facility"
418,NA,8756,NA,"3401NP","Outpatient Facility"
419,NA,8756,NA,"4200BS","Outpatient Facility"
420,NA,8756,NA,"3401XC","Outpatient Facility"
421,NA,8756,NA,"4225KN","Outpatient Facility"
422,NA,8940,NA,"665087509",NA
423,NA,8940,NA,"105352470",NA
424,NA,8940,NA,"269507947",NA
425,NA,8940,NA,"043062493",NA
426,NA,8940,NA,"743243083",NA
427,NA,8940,NA,"975825763",NA
428,NA,8940,NA,"682094352",NA
429,NA,8940,NA,"970855356",NA
430,NA,8940,NA,"940036141",NA
431,NA,8940,NA,"187771147",NA
432,NA,8940,NA,"683830974",NA
433,NA,8940,NA,"494994416",NA
434,NA,8940,NA,"548667385",NA
435,NA,8940,NA,"104720882",NA
436,NA,8940,NA,"484699655",NA
437,NA,8940,NA,"715651298",NA
438,NA,8940,NA,"931932083",NA
439,NA,8940,NA,"784543254",NA
440,NA,8940,NA,"359396658",NA
441,NA,8940,NA,"295009838",NA
442,NA,8940,NA,"133967779",NA
443,NA,8940,NA,"042709282",NA
444,NA,8940,NA,"553031260",NA
445,NA,8940,NA,"194703031",NA
446,NA,8940,NA,"686120464",NA
447,NA,8940,NA,"554005813",NA
448,NA,8940,NA,"643735709",NA
449,NA,8940,NA,"418621771",NA
450,NA,8940,NA,"912341857",NA
451,NA,8940,NA,"423813799",NA
452,NA,8940,NA,"647668272",NA
453,NA,8940,NA,"325967897",NA
454,NA,8940,NA,"212014570",NA
455,NA,8940,NA,"299885746",NA
456,NA,8940,NA,"532337660",NA
457,NA,8940,NA,"000624661",NA
458,NA,8940,NA,"014638198",NA
459,NA,8940,NA,"566384846",NA
460,NA,8940,NA,"267293579",NA
461,NA,8940,NA,"505953938",NA
462,NA,8940,NA,"329790009",NA
463,NA,8940,NA,"641363950",NA
464,NA,8940,NA,"562006577",NA
465,NA,8940,NA,"899612031",NA
466,NA,8940,NA,"799762516",NA
467,NA,8940,NA,"334805535",NA
468,NA,8940,NA,"037789077",NA
469,NA,8940,NA,"229276107",NA
470,NA,8940,NA,"308156351",NA
471,NA,8940,NA,"832817912",NA
472,NA,8940,NA,"110079748",NA
473,NA,8940,NA,"330766742",NA
474,NA,8940,NA,"514221579",NA
475,NA,8756,NA,"4600BC","Outpatient Facility"
476,NA,8756,NA,"4600NH","Outpatient Facility"
477,NA,8756,NA,"4600QS","Outpatient Facility"
478,NA,8756,NA,"4600XT","Outpatient Facility"
479,NA,8756,NA,"4600QK","Outpatient Facility"
480,NA,8940,NA,"190622765",NA
481,NA,8940,NA,"188576162",NA
482,NA,8940,NA,"376306278",NA
483,NA,8940,NA,"823082014",NA
484,NA,8940,NA,"593159083",NA
485,NA,8940,NA,"979160053",NA
486,NA,8940,NA,"824005834",NA
487,NA,8940,NA,"733756271",NA
488,NA,8940,NA,"834679430",NA
489,NA,8940,NA,"344766681",NA
490,NA,8940,NA,"601703833",NA
491,NA,8940,NA,"595315738",NA
492,NA,8940,NA,"226455775",NA
493,NA,8940,NA,"229975491",NA
494,NA,8940,NA,"828705385",NA
495,NA,8940,NA,"312228690",NA
496,NA,8940,NA,"891562991",NA
497,NA,8940,NA,"451438005",NA
498,NA,8940,NA,"712482712",NA
499,NA,8940,NA,"080874179",NA
500,NA,8940,NA,"420667751",NA
501,NA,8940,NA,"867622443",NA
502,NA,8940,NA,"819077234",NA
503,NA,8940,NA,"111131068",NA
504,NA,8940,NA,"006294814",NA
505,NA,8940,NA,"468676599",NA
506,NA,8940,NA,"377616446",NA
507,NA,8940,NA,"957308399",NA
508,NA,8940,NA,"471692738",NA
509,NA,8940,NA,"067995945",NA
510,NA,8940,NA,"346832454",NA
511,NA,8940,NA,"046420854",NA
512,NA,8940,NA,"372387676",NA
513,NA,8940,NA,"158191255",NA
514,NA,8940,NA,"127968626",NA
515,NA,8940,NA,"815289409",NA
516,NA,8940,NA,"194890129",NA
517,NA,8940,NA,"050228504",NA
518,NA,8940,NA,"728763966",NA
519,NA,8940,NA,"815933111",NA
520,NA,8940,NA,"469763353",NA
521,NA,8940,NA,"207704999",NA
522,NA,8940,NA,"848504462",NA
523,NA,8940,NA,"682495067",NA
524,NA,8940,NA,"101934947",NA
525,NA,8940,NA,"959624445",NA
526,NA,8940,NA,"335450826",NA
527,NA,8940,NA,"926297982",NA
528,NA,8940,NA,"518148021",NA
529,NA,8940,NA,"701127202",NA
530,NA,8940,NA,"705588984",NA
531,NA,8940,NA,"562662618",NA
532,NA,8940,NA,"479681938",NA
533,NA,8940,NA,"116524452",NA
534,NA,8940,NA,"053055230",NA
535,NA,8940,NA,"846806789",NA
536,NA,8940,NA,"298730573",NA
537,NA,8940,NA,"667270536",NA
538,NA,8940,NA,"467672380",NA
539,NA,8940,NA,"504091672",NA
540,NA,8940,NA,"947252476",NA
541,NA,8940,NA,"076632782",NA
542,NA,8940,NA,"778630357",NA
543,NA,8940,NA,"771678219",NA
544,NA,8940,NA,"995423220",NA
545,NA,8940,NA,"269991285",NA
546,NA,8940,NA,"735248508",NA
547,NA,8940,NA,"858439123",NA
548,NA,8940,NA,"441758811",NA
549,NA,8940,NA,"427395100",NA
550,NA,8940,NA,"670909464",NA
551,NA,8940,NA,"876210037",NA
552,NA,8940,NA,"931555260",NA
553,NA,8940,NA,"140379853",NA
554,NA,8940,NA,"129351269",NA
555,NA,8940,NA,"459179792",NA
556,NA,8940,NA,"433241909",NA
557,NA,8940,NA,"254804227",NA
558,NA,8940,NA,"481466597",NA
559,NA,8940,NA,"002114168",NA
560,NA,8940,NA,"707622258",NA
561,NA,8940,NA,"834001923",NA
562,NA,8940,NA,"338023335",NA
563,NA,8940,NA,"243398733",NA
564,NA,8940,NA,"772101129",NA
565,NA,8940,NA,"540774310",NA
566,NA,8940,NA,"635717286",NA
567,NA,8940,NA,"058034819",NA
568,NA,8940,NA,"603478492",NA
569,NA,8940,NA,"605613609",NA
570,NA,8940,NA,"936577039",NA
571,NA,8940,NA,"954122222",NA
572,NA,8940,NA,"621475962",NA
573,NA,8940,NA,"147423369",NA
574,NA,8717,NA,"2200GD","Inpatient Facility"
575,NA,8940,NA,"240419338",NA
576,NA,8940,NA,"106353870",NA
577,NA,8940,NA,"269692220",NA
578,NA,8940,NA,"324398019",NA
579,NA,8940,NA,"354698021",NA
580,NA,8940,NA,"446255850",NA
581,NA,8940,NA,"042214515",NA
582,NA,8940,NA,"724498276",NA
583,NA,8940,NA,"445593104",NA
584,NA,8940,NA,"601375510",NA
585,NA,8940,NA,"069332041",NA
586,NA,8940,NA,"997955132",NA
587,NA,8940,NA,"921295831",NA
588,NA,8940,NA,"073835949",NA
589,NA,8940,NA,"667156827",NA
590,NA,8940,NA,"491469761",NA
591,NA,8940,NA,"167801113",NA
592,NA,8940,NA,"622975524",NA
593,NA,8756,NA,"2513JV","Outpatient Facility"
594,NA,8756,NA,"2500XR","Outpatient Facility"
595,NA,8940,NA,"160764752",NA
596,NA,8940,NA,"766915564",NA
597,NA,8940,NA,"020627506",NA
598,NA,8940,NA,"130972885",NA
599,NA,8940,NA,"122043782",NA
600,NA,8940,NA,"724970502",NA
601,NA,8940,NA,"143479058",NA
602,NA,8940,NA,"706103752",NA
603,NA,8940,NA,"852274967",NA
604,NA,8940,NA,"456856028",NA
605,NA,8940,NA,"287426173",NA
606,NA,8940,NA,"263211311",NA
607,NA,8940,NA,"727174237",NA
608,NA,8940,NA,"214399096",NA
609,NA,8940,NA,"861370656",NA
610,NA,8940,NA,"689864342",NA
611,NA,8940,NA,"354295709",NA
612,NA,8756,NA,"14028P","Outpatient Facility"
613,NA,8756,NA,"1401DM","Outpatient Facility"
614,NA,8756,NA,"1401CK","Outpatient Facility"
615,NA,8756,NA,"1413ZM","Outpatient Facility"
616,NA,8940,NA,"578794428",NA
617,NA,8940,NA,"621711803",NA
618,NA,8940,NA,"442424772",NA
619,NA,8940,NA,"549906652",NA
620,NA,8940,NA,"492215649",NA
621,NA,8940,NA,"151424386",NA
622,NA,8940,NA,"247454791",NA
623,NA,8940,NA,"844140732",NA
624,NA,8940,NA,"200775580",NA
625,NA,8940,NA,"795065823",NA
626,NA,8940,NA,"119099905",NA
627,NA,8940,NA,"664225642",NA
628,NA,8940,NA,"250151104",NA
629,NA,8940,NA,"331294509",NA
630,NA,8940,NA,"834770109",NA
631,NA,8940,NA,"618947709",NA
632,NA,8940,NA,"106405649",NA
633,NA,8940,NA,"050632327",NA
634,NA,8940,NA,"806075539",NA
635,NA,8940,NA,"753383803",NA
636,NA,8940,NA,"249325729",NA
637,NA,8940,NA,"778499869",NA
638,NA,8940,NA,"158440371",NA
639,NA,8940,NA,"794352344",NA
640,NA,8940,NA,"513417063",NA
641,NA,8940,NA,"399993789",NA
642,NA,8940,NA,"896778432",NA
643,NA,8940,NA,"081573220",NA
644,NA,8940,NA,"027440387",NA
645,NA,8940,NA,"483410265",NA
646,NA,8940,NA,"131622115",NA
647,NA,8940,NA,"006198940",NA
648,NA,8940,NA,"730645268",NA
649,NA,8940,NA,"784166126",NA
650,NA,8940,NA,"213645477",NA
651,NA,8940,NA,"266779565",NA
652,NA,8940,NA,"669958510",NA
653,NA,8940,NA,"288300966",NA
654,NA,8940,NA,"497486183",NA
655,NA,8940,NA,"675558873",NA
656,NA,8940,NA,"837004448",NA
657,NA,8940,NA,"244126710",NA
658,NA,8940,NA,"392958581",NA
659,NA,8940,NA,"133074247",NA
660,NA,8940,NA,"408289873",NA
661,NA,8940,NA,"647557960",NA
662,NA,8940,NA,"896075300",NA
663,NA,8940,NA,"272300115",NA
664,NA,8717,NA,"0300CC","Inpatient Facility"
665,NA,8756,NA,"1313GT","Outpatient Facility"
666,NA,8756,NA,"0600QS","Outpatient Facility"
667,NA,8756,NA,"03138D","Outpatient Facility"
668,NA,8756,NA,"3901YB","Outpatient Facility"
669,NA,8756,NA,"0600QK","Outpatient Facility"
670,NA,8756,NA,"2201YM","Outpatient Facility"
671,NA,8756,NA,"0600ZH","Outpatient Facility"
672,NA,8940,NA,"243065606",NA
673,NA,8940,NA,"884177721",NA
674,NA,8940,NA,"154542233",NA
675,NA,8940,NA,"464397798",NA
676,NA,8940,NA,"665407732",NA
677,NA,8940,NA,"973025813",NA
678,NA,8940,NA,"478688882",NA
679,NA,8940,NA,"072659393",NA
680,NA,8940,NA,"457018190",NA
681,NA,8940,NA,"861207447",NA
682,NA,8940,NA,"884153311",NA
683,NA,8940,NA,"086230174",NA
684,NA,8940,NA,"223226885",NA
685,NA,8940,NA,"274806349",NA
686,NA,8940,NA,"186380353",NA
687,NA,8940,NA,"668496578",NA
688,NA,8940,NA,"335598379",NA
689,NA,8940,NA,"437120976",NA
690,NA,8940,NA,"927150665",NA
691,NA,8940,NA,"645966225",NA
692,NA,8940,NA,"122457752",NA
693,NA,8940,NA,"304820579",NA
694,NA,8940,NA,"633057229",NA
695,NA,8940,NA,"036211004",NA
696,NA,8940,NA,"407356849",NA
697,NA,8940,NA,"965636299",NA
698,NA,8940,NA,"611863330",NA
699,NA,8940,NA,"478841959",NA
